id, x, y 
6997, 1.468, 1.544 
6990, 1.614, -0.463 
8144, 2.083, -1.039 
6992, 1.124, 0.620 
8146, 2.083, -1.039 
5519, -2.861, 0.386 
5518, -2.483, -1.568 
5511, -2.536, -0.869 
5510, -2.571, -0.829 
5513, -2.588, -0.948 
5512, -2.443, -0.716 
5515, -2.737, -0.789 
5514, -2.769, -0.727 
5517, -2.865, -0.470 
5516, -2.828, -0.782 
6959, 0.194, -1.367 
8703, -2.453, -0.451 
8702, 0.487, -0.376 
8701, 0.069, -0.880 
8707, 0.588, -1.176 
8706, -0.306, -0.734 
8705, -2.617, -0.377 
8704, -1.970, -0.330 
8708, 1.214, 0.387 
8035, 1.081, 0.394 
8034, 0.946, -0.107 
8037, -3.405, -0.400 
8036, -3.247, -0.483 
8030, -2.709, -1.012 
8033, -0.619, -0.269 
8039, 0.764, -1.093 
8038, 0.986, -0.909 
9485, 1.458, -0.842 
5601, -3.157, -0.573 
5600, -3.157, -0.573 
5603, -3.182, -0.563 
5602, -3.175, -0.565 
9991, 0.995, -1.247 
8520, 0.870, -1.072 
8526, -2.392, -1.003 
6518, 1.072, 1.037 
6519, 1.140, 1.507 
6516, 0.384, -2.003 
9327, 1.019, -1.121 
6251, 1.086, 0.814 
5130, -2.500, -1.031 
8457, 1.570, -0.220 
8456, 1.236, -0.962 
8455, 1.076, -0.909 
8452, 1.008, 0.651 
6413, 2.130, 1.445 
6424, 0.412, -1.490 
6425, -2.816, 0.251 
6428, 0.030, -2.070 
7548, 1.762, 0.705 
7586, -3.219, -1.052 
8862, -1.806, -0.743 
7541, 1.851, -3.647 
7543, 1.397, 0.348 
7546, -3.325, -0.475 
6568, 1.124, 0.620 
7587, -2.625, -1.098 
6169, 1.143, 1.209 
6168, 1.141, 0.604 
6161, 1.124, 0.627 
6160, 1.169, 1.358 
6163, 1.158, 1.654 
6162, 1.124, 0.628 
6165, 1.137, 0.608 
6164, 1.141, 0.604 
6167, 1.127, 0.618 
6166, 1.159, 1.653 
6765, 0.654, 0.381 
6764, 0.494, 0.423 
6762, 0.654, 0.381 
9977, 0.855, -0.022 
9976, 0.855, -0.022 
9975, 0.855, -0.022 
9974, 0.473, -0.551 
5868, 1.147, 0.701 
9971, 1.007, -1.345 
9970, 0.910, -1.425 
5864, 1.545, 1.949 
5866, 1.549, 1.947 
5861, 0.697, -1.025 
5860, 0.432, -0.380 
5863, 1.545, 1.949 
5862, 2.554, -1.773 
6565, 1.124, 0.620 
8682, 0.469, -0.118 
9852, 1.584, -0.894 
8987, -2.643, -1.287 
6698, -0.331, -0.539 
7231, 1.914, -0.951 
6693, 1.063, 3.113 
8138, 2.085, -1.038 
6691, -0.328, -0.535 
6697, 1.124, 0.620 
6696, 2.432, 2.181 
6695, 2.277, 2.176 
8687, 1.126, 0.619 
6457, 0.323, 3.200 
7583, 1.726, -2.020 
6456, 0.322, 3.257 
7838, 1.139, 0.449 
7839, 1.145, 0.393 
5767, 0.489, -0.781 
7830, -2.749, -1.370 
7833, -2.976, -0.677 
8688, 1.126, 0.619 
7836, -2.543, 0.060 
6340, 1.261, 2.394 
6343, 0.440, -1.697 
